subject,state,window_s,n_windows,kappa,graph_mode,graph_param
S001,EO,2.0,60,0.46265386666378777,adaptive_eps,10.0
S001,EO,4.0,29,0.4591933561603144,mutual_knn,10
S001,EC,2.0,60,0.45157310570595904,adaptive_eps,10.0
S001,EC,4.0,29,0.4433262678998728,mutual_knn,10
S002,EO,2.0,60,0.46935141178079554,adaptive_eps,10.0
S002,EO,4.0,29,0.4676133842513031,mutual_knn,10
S002,EC,2.0,60,0.45197268674790936,mutual_knn,15
S002,EC,4.0,29,0.44719124154548284,mutual_knn,10
S003,EO,2.0,60,0.4599961673591725,adaptive_eps,10.0
S003,EO,4.0,29,0.45878413448118605,mutual_knn,10
S003,EC,2.0,60,0.45286109992257834,adaptive_eps,10.0
S003,EC,4.0,29,0.44135912157497253,mutual_knn,10
S004,EO,2.0,60,0.4654211062188291,adaptive_eps,10.0
S004,EO,4.0,29,0.4666139421537291,mutual_knn,10
S004,EC,2.0,60,0.44278969537140533,adaptive_eps,10.0
S004,EC,4.0,29,0.4405894350646503,mutual_knn,10
S005,EO,2.0,60,0.47918304107258597,adaptive_eps,10.0
S005,EO,4.0,29,0.47695937785633863,mutual_knn,10
S005,EC,2.0,60,0.4772928479899696,adaptive_eps,10.0
S005,EC,4.0,29,0.47526097375733,mutual_knn,10
S006,EO,2.0,60,0.4663874663818532,adaptive_eps,10.0
S006,EO,4.0,29,0.46414366886321035,mutual_knn,10
S006,EC,2.0,60,0.46643072354338133,adaptive_eps,10.0
S006,EC,4.0,29,0.46646868490652205,mutual_knn,10
S007,EO,2.0,60,0.4654402230468736,mutual_knn,12
S007,EO,4.0,29,0.4599987460637327,mutual_knn,10
S007,EC,2.0,60,0.4568678773834357,adaptive_eps,10.0
S007,EC,4.0,29,0.44341791257442154,mutual_knn,10
S008,EO,2.0,60,0.4612577699510187,adaptive_eps,10.0
S008,EO,4.0,29,0.45620877778666746,mutual_knn,10
S008,EC,2.0,60,0.4530089229606725,adaptive_eps,10.0
S008,EC,4.0,29,0.4434951467327758,mutual_knn,10
S009,EO,2.0,60,0.4708699379398479,mutual_knn,12
S009,EO,4.0,29,0.4720135024064369,mutual_knn,10
S009,EC,2.0,60,0.46476510772373725,mutual_knn,12
S009,EC,4.0,29,0.46072570807432345,mutual_knn,10
S010,EO,2.0,60,0.47400606150518,adaptive_eps,10.0
S010,EO,4.0,29,0.47088739064929014,mutual_knn,10
S010,EC,2.0,60,0.45883145296753736,mutual_knn,10
S010,EC,4.0,29,0.43337558296037504,mutual_knn,10
S011,EO,2.0,60,0.46835500269037134,adaptive_eps,10.0
S011,EO,4.0,29,0.46370873247440153,mutual_knn,10
S011,EC,2.0,60,0.46170082541873003,adaptive_eps,10.0
S011,EC,4.0,29,0.45743517060243,mutual_knn,10
S012,EO,2.0,60,0.46162261656796566,mutual_knn,10
S012,EO,4.0,29,0.4509361541174187,mutual_knn,10
S012,EC,2.0,60,0.4563820690755436,adaptive_eps,10.0
S012,EC,4.0,29,0.4567237347215348,mutual_knn,10
S013,EO,2.0,60,0.4675856818188823,adaptive_eps,10.0
S013,EO,4.0,29,0.4660568490908742,mutual_knn,10
S013,EC,2.0,60,0.4629765136849291,mutual_knn,10
S013,EC,4.0,29,0.45842189379645265,mutual_knn,10
S014,EO,2.0,59,0.4687038003017706,adaptive_eps,10.0
S014,EO,4.0,29,0.4651395879489259,mutual_knn,10
S014,EC,2.0,60,0.4615761143053992,adaptive_eps,10.0
S014,EC,4.0,29,0.4577006913110247,mutual_knn,10
S015,EO,2.0,60,0.462627531052766,adaptive_eps,10.0
S015,EO,4.0,29,0.4613874683729835,mutual_knn,10
S015,EC,2.0,60,0.46020567496318077,adaptive_eps,10.0
S015,EC,4.0,29,0.45747867484957605,mutual_knn,10
S016,EO,2.0,60,0.45926890491349454,mutual_knn,15
S016,EO,4.0,29,0.45367208248990093,mutual_knn,10
S016,EC,2.0,60,0.4535372112787349,adaptive_eps,10.0
S016,EC,4.0,29,0.43894344933306706,mutual_knn,10
S017,EO,2.0,60,0.46371476963226127,adaptive_eps,10.0
S017,EO,4.0,29,0.4644187665956965,mutual_knn,10
S017,EC,2.0,60,0.4524878670825264,adaptive_eps,10.0
S017,EC,4.0,29,0.4373993118871279,mutual_knn,10
S018,EO,2.0,60,0.45493550896835616,adaptive_eps,10.0
S018,EO,4.0,29,0.4474382763991215,mutual_knn,10
S018,EC,2.0,60,0.45327623460312283,adaptive_eps,10.0
S018,EC,4.0,29,0.45031701463017754,mutual_knn,10
S019,EO,2.0,60,0.4657873908335774,adaptive_eps,10.0
S019,EO,4.0,29,0.4611327042801675,mutual_knn,10
S019,EC,2.0,60,0.4630305348463667,adaptive_eps,10.0
S019,EC,4.0,29,0.45551474230627576,mutual_knn,10
S020,EO,2.0,60,0.46751298796400553,adaptive_eps,10.0
S020,EO,4.0,29,0.47071983558736663,mutual_knn,10
S020,EC,2.0,60,0.4598220522288693,adaptive_eps,10.0
S020,EC,4.0,29,0.45845310733297884,mutual_knn,12
