layer,kappa_t,acc_mean,acc_std,ece_mean,ece_std,nll_mean,nll_std,seeds
4,0.1,0.5259938837920489,0.006620989325569095,0.09324918183802829,0.0286714233497515,0.6847350200017294,0.00035272423471698744,3
4,0.2,0.5259938837920489,0.006620989325569095,0.09433638944720639,0.029724437937974885,0.6847472985585531,0.0003576507627258769,3
4,0.27,0.5259938837920489,0.006620989325569095,0.09434779355194227,0.029728695681970722,0.6847556233406067,0.0003613097285196031,3
4,0.35,0.525611620795107,0.006316021269823512,0.09474263697953765,0.029876079691649703,0.6847649614016215,0.00036559892714043226,3
4,0.5,0.5248470948012233,0.005656975759536975,0.09654907529051515,0.030094272025243278,0.6847817500432333,0.00037416401814536283,3
6,0.1,0.5179663608562691,0.006316021269823543,0.14061348024038,0.036720280103868276,0.6830504536628723,0.00042071522099239967,3
6,0.2,0.5175840978593272,0.006316021269823543,0.14137157285158786,0.036790728976666125,0.6830643812815348,0.00042512386158679,3
6,0.27,0.5172018348623854,0.005733944954128434,0.1413590108309317,0.036171924818317054,0.6830735603968302,0.0004284649711361407,3
6,0.35,0.5172018348623854,0.005733944954128434,0.14167901308529238,0.036133470324414864,0.6830839117368063,0.000432313804792326,3
6,0.5,0.5172018348623854,0.005733944954128434,0.1404305427172862,0.034385116465990635,0.6831034223238627,0.0004403722187999566,3
8,0.1,0.5535168195718655,0.016710621555347437,0.15492341892981745,0.016877340825737473,0.6749578317006429,0.0009073127145813852,3
8,0.2,0.5527522935779817,0.01697092727861094,0.15595423781088005,0.015758996760645464,0.6749800244967142,0.0009087111937382457,3
8,0.27,0.551987767584098,0.017252727976141823,0.15631868959111175,0.015087361748967035,0.6749940911928812,0.0009106912538849149,3
8,0.35,0.551605504587156,0.017913416687859333,0.15630194829600302,0.01506117438185617,0.6750108003616333,0.0009124397448105619,3
8,0.5,0.551605504587156,0.017913416687859333,0.15586136026302244,0.014536509010968323,0.6750454703966776,0.0009186492186065401,3
10,0.1,0.6035932721712539,0.02131094780545311,0.12454175532137583,0.009766493221580803,0.6657305558522543,0.00099695487240268,3
10,0.2,0.6043577981651377,0.021879339482040017,0.12214822823392506,0.009004800024792174,0.6657543381055196,0.0010071786564994326,3
10,0.27,0.6039755351681957,0.021586862237760664,0.12324529050049067,0.008449821200911065,0.665772000948588,0.0010125007030682837,3
10,0.35,0.6028287461773701,0.022540555027225632,0.12475045542560222,0.009655008739928646,0.6657916307449341,0.001019165738060512,3
10,0.5,0.6024464831804281,0.022246918236928842,0.12574559263315402,0.007416469654329573,0.6658260822296143,0.001033456492619754,3
