layer,token_type,kappa,stress
1,cls,0.5231518776967795,0.038159988138287394
2,cls,0.36010160163649224,0.0654419392070946
3,cls,0.2710854201536889,0.1059664375850851
4,cls,0.2708502488271211,0.14731561885859318
5,cls,0.2706472814561727,0.16566929532852723
6,cls,0.2705394843274983,0.17429890792594985
7,cls,0.2704620902156537,0.17713507322193336
8,cls,0.2704745694266486,0.1777777239124615
9,cls,0.27051132272387957,0.17833046412290293
10,cls,0.27054066821679196,0.18014472730603617
11,cls,0.27044819575219514,0.18175860125310686
12,cls,0.2700863632158302,0.19968543217901477
